"","ActivityDesc","Subject","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z"
"1","STANDING",2,0.277911472222222,-0.0184208270166667,-0.105908536055556,-0.987271889259259,-0.957304989259259,-0.949741851296296,-0.983946739814815,-0.959871697407407,-0.962471195740741,-0.989056469814815,-0.957908842222222,-0.946433583518518
"2","SITTING",2,0.27708735173913,-0.0156879937282609,-0.109218272456522,-0.986822279565217,-0.950704499130435,-0.95982817173913,-0.985803840652174,-0.957343498478261,-0.970162172608696,-0.98736209,-0.950073754130435,-0.956862864130435
"3","LAYING",2,0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667,-0.98027739875,-0.984233296875,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.973246482083333,-0.981025105625,-0.984792185
"4","WALKING",2,0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576,-0.0780912533118644,-0.425257524915254,-0.346048161016949,-0.0219048103322034,-0.453806369830508,-0.457651383728814,-0.16921968620339,-0.455222146440678
"5","WALKING_DOWNSTAIRS",2,0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446808,0.262881788951064,-0.10283790806383,0.112841160325532,0.278345041765957,-0.131290772,0.0161046198595745,0.171973972957447,-0.162032894287234
"6","WALKING_UPSTAIRS",2,0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333,0.108027279889583,-0.112121021220833,-0.266720933270833,0.00992445881854167,-0.281001986202083,-0.320582414375,0.0848802791083333,-0.09454497643125
"7","STANDING",4,0.280499745892857,-0.00948911098553571,-0.0961574905535714,-0.97692058,-0.86159737875,-0.896880538392857,-0.973497549642857,-0.889549205,-0.93164342125,-0.978737637678571,-0.857380281803571,-0.887554317678571
"8","SITTING",4,0.27153827992,-0.007163065158,-0.10587459588,-0.980309931,-0.89022398108,-0.9322030066,-0.9774624984,-0.9057829318,-0.9517837432,-0.9819081892,-0.8894673494,-0.9269993168
"9","LAYING",4,0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.954193738888889,-0.941714042407407,-0.962667314814815,-0.958802077592593,-0.938883374444444,-0.967504278888889,-0.952464881481481,-0.946380971111111,-0.962154454259259
"10","WALKING",4,0.278582015166667,-0.0148399475341667,-0.11140306485,-0.440829971333333,-0.0788267367683333,-0.586252806833333,-0.426719449666667,-0.14939963344,-0.631005470833333,-0.447234929666667,-0.101799450565167,-0.594198325666667
"11","WALKING_DOWNSTAIRS",4,0.279965329555556,-0.00980200850666667,-0.1067775246,0.0111935496222222,-0.21859832499,-0.479185977111111,-0.0722392276888889,-0.129606639466667,-0.494683451555556,0.0390098262533333,-0.32253131772,-0.512694303111111
"12","WALKING_UPSTAIRS",4,0.270876696730769,-0.0319804295729615,-0.114219455519231,-0.204933042903846,-0.0666899105180769,-0.372137777692308,-0.294488270365385,-0.117109161492308,-0.524655722692308,-0.173217219014423,-0.101434446040385,-0.345109817692308
"13","STANDING",9,0.282310057333333,-0.0200454954022222,-0.0952747481333333,-0.975741252444444,-0.938635759333333,-0.919295805777778,-0.971662692,-0.944849431777778,-0.941686874222222,-0.977579248444444,-0.938790016888889,-0.913896832222222
"14","SITTING",9,0.24832674354,-0.02701677698,-0.07537846886,-0.9572277914,-0.875141405,-0.83200187268,-0.959413594,-0.911683219,-0.8922013438,-0.956903459,-0.86761360746,-0.818001834824
"15","LAYING",9,0.2591955368,-0.020526821662,-0.10754972144,-0.94233309,-0.9162927764,-0.9407072854,-0.946865494,-0.9343665984,-0.9459190006,-0.9409810272,-0.9128367508,-0.9419711636
"16","WALKING",9,0.278502842115385,-0.0180891971284423,-0.110820512307692,-0.238353562692308,-0.201696960826923,-0.0579636469030769,-0.294711163653846,-0.257677616153846,-0.250806259788462,-0.218019977423077,-0.223972558596154,-0.0337965256573077
"17","WALKING_DOWNSTAIRS",9,0.295923445,-0.0203994269075476,-0.0910278793952381,0.213392270547619,-0.208310705504762,-0.00771530035714285,0.103128506197619,-0.183120455428571,-0.103705822657857,0.250488758869048,-0.273561385142857,-0.0349494927142857
"18","WALKING_UPSTAIRS",9,0.262436475714286,-0.0195101099975714,-0.125219003959184,-0.36144437755102,-0.302206203816327,-0.253434083542857,-0.342735952653061,-0.405022798163265,-0.384710423408163,-0.369815777346939,-0.297641062755102,-0.244081808302041
"19","STANDING",10,0.276650300681818,-0.0155418603409091,-0.107964083931818,-0.978403481818182,-0.919561843409091,-0.941271440454545,-0.970099814318182,-0.923378745227273,-0.955272383863636,-0.982949246136364,-0.921860476590909,-0.938098683181818
"20","SITTING",10,0.270612056481481,-0.015042681852037,-0.104253238796296,-0.982901825925926,-0.917979529962963,-0.967826981666667,-0.984943144259259,-0.9404502,-0.97464465462963,-0.982242427777778,-0.912838063018519,-0.966121042592593
"21","LAYING",10,0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685,-0.946454302068966,-0.95947148637931,-0.96918420862069,-0.954341849137931,-0.964300845172414,-0.96796803862069,-0.946229148258621,-0.959813667810345
"22","WALKING",10,0.278574076603774,-0.017022351190566,-0.109057512132075,-0.178709734396226,-0.0227431651698113,-0.395645072075472,-0.114190001283019,0.0533911909886792,-0.41218272245283,-0.206366497226415,-0.129775706316981,-0.435304215660377
